Lead ID,Age,Gender,Location,Income,Education Level,Number of times contacted,Marketing channel,Campaign effectiveness,Website visits,Time spent on website,Pages viewed,Previous product interactions,Outcome
40,54,Male,Los Angeles,40307,Ph.D.,16,Phone Call,0.3897505925116098,3,39.10411816936481,10,0,0
41,43,Male,New York,92875,High School,19,Social Media,0.07409156648618032,7,19.517600077665133,1,1,0
42,60,Other,Houston,72961,Bachelor,10,Phone Call,0.11335607476058174,2,50.480250628467985,6,0,1
43,51,Male,Chicago,68085,Master,6,Email,0.4439706050142199,1,30.994057741956688,6,1,1
44,27,Male,Houston,44056,Bachelor,13,Phone Call,0.8555172855357772,2,10.923048275069384,8,1,0
45,21,Male,New York,70544,High School,16,Email,0.17757501297317413,2,3.7169365172984947,6,1,0
46,27,Male,Los Angeles,44392,Ph.D.,20,Email,0.08729062971528656,6,20.16469296317536,10,0,1
47,47,Female,Chicago,65273,High School,9,Email,0.18554744870693773,10,42.69019894802702,10,1,0
48,64,Male,Los Angeles,55788,Master,14,Phone Call,0.6040332357377923,1,0.9216965124976628,9,1,1
49,38,Male,Houston,109996,Ph.D.,12,Email,0.04816770074906407,2,19.464246401331646,4,1,0
50,52,Other,Los Angeles,76105,Master,10,Email,0.49674767609767356,10,3.4510125426628546,7,1,0
51,28,Male,Houston,90949,High School,5,Social Media,0.5217917605523865,8,22.232369957389214,9,0,0
52,53,Male,New York,39075,Bachelor,20,Social Media,0.35285149178303454,4,14.233462588896266,5,0,0
53,19,Other,Chicago,76327,Ph.D.,6,Social Media,0.9678502838750022,2,47.670686796897556,9,1,0
54,61,Male,New York,82955,Ph.D.,19,Social Media,0.8216345278116596,4,48.601025180242544,5,1,1
55,19,Other,Houston,66665,Bachelor,1,Phone Call,0.8470155460290971,1,18.522909214594385,10,1,1
56,47,Other,New York,33347,High School,14,Phone Call,0.6174886163468347,10,51.2005250645536,8,1,1
57,25,Male,Los Angeles,102335,Ph.D.,13,Email,0.6774912885451796,4,21.156439645289975,5,0,1
58,37,Other,Chicago,44304,Bachelor,12,Social Media,0.422974783056152,9,13.574231154359644,4,1,1
59,63,Other,Los Angeles,116525,High School,5,Email,0.8897719291545462,4,35.59010209010987,4,0,1
60,60,Other,Los Angeles,75997,Ph.D.,11,Phone Call,0.8128819215071197,3,49.34898295086687,3,1,0
61,29,Other,Houston,67229,High School,7,Phone Call,0.7726513163221319,3,35.46570600912984,7,0,1
62,57,Female,New York,92576,Bachelor,3,Social Media,0.7897277583378061,0,21.20862762147611,8,1,1
63,59,Male,New York,86700,Ph.D.,17,Social Media,0.1692122230903914,3,34.22536318747306,2,1,0
64,22,Female,Houston,45269,High School,4,Social Media,0.0514007868741192,0,45.19800783782055,8,1,0
65,47,Other,Los Angeles,50446,Bachelor,14,Social Media,0.48104879817987445,1,2.310041350192802,9,0,0
66,19,Other,Los Angeles,38725,High School,9,Phone Call,0.16140496002922633,8,28.560674461258728,2,0,1
67,24,Female,Los Angeles,113056,Bachelor,9,Social Media,0.7315681866294002,5,19.273417753050314,10,1,1
68,54,Female,Houston,59802,High School,20,Email,0.8674487088548055,3,46.14655825704888,2,1,0
69,43,Other,Houston,110267,Bachelor,19,Phone Call,0.26640529937772384,10,34.41322063793762,10,0,0
70,22,Other,Los Angeles,69502,Master,18,Social Media,0.662883090721897,8,47.80612075803786,3,0,0
71,56,Female,Los Angeles,86068,Bachelor,10,Email,0.09457818961662856,10,43.910236907297396,2,1,1
72,46,Male,Chicago,81727,Master,8,Phone Call,0.5465690299464774,3,33.52579519919435,6,0,1
73,43,Female,Houston,49904,Bachelor,19,Email,0.029148931710368697,0,56.9167325849527,2,0,1
74,44,Female,New York,44188,Master,9,Phone Call,0.11686355248972047,1,29.328938798666726,3,1,1
75,49,Female,Houston,100405,High School,14,Email,0.5584895742639383,3,47.98977307045975,6,1,0
76,47,Other,Chicago,31367,Master,1,Social Media,0.5130252092142158,9,42.242032647719284,2,1,0
77,62,Female,Los Angeles,109074,Master,17,Phone Call,0.5359259535271048,10,54.93976698204949,1,1,1
78,40,Female,New York,47129,Ph.D.,19,Phone Call,0.1999900190681334,6,59.91701004253848,1,0,1
79,63,Other,Houston,45410,Bachelor,10,Social Media,0.9574533755005742,1,6.290031994323877,4,1,0
80,63,Female,Los Angeles,98614,Ph.D.,8,Social Media,0.8068939059724912,7,25.72557054791917,1,0,1
81,48,Other,New York,37208,High School,6,Phone Call,0.784159195608965,6,10.390109818644772,2,1,0
82,23,Other,Los Angeles,33272,Bachelor,17,Social Media,0.7024453327128862,9,47.0981237597862,5,1,1
83,41,Male,Chicago,103562,High School,6,Phone Call,0.19593604779118556,1,2.7121727454901468,4,0,0
84,32,Other,New York,56990,High School,1,Social Media,0.039178223641857524,1,44.27974017555897,7,1,0
85,48,Male,Chicago,45503,Ph.D.,11,Social Media,0.5132802837077214,6,8.571739668825025,4,1,1
86,43,Other,New York,77737,High School,19,Social Media,0.14875312666182317,7,2.024735379688034,9,1,0
87,25,Other,New York,47646,High School,19,Social Media,0.58257530770068,7,1.6995284292803459,6,1,0
88,51,Other,Los Angeles,73988,Bachelor,8,Social Media,0.07353345542121681,8,44.33598339693619,5,0,1
89,49,Female,New York,60965,High School,10,Email,0.7680860093962183,0,53.129875636209825,2,1,0
90,28,Female,Houston,113926,High School,10,Social Media,0.7873230508941392,3,13.94580942818991,8,1,1
91,64,Male,New York,113962,Bachelor,7,Phone Call,0.8919412311417895,0,12.678527824428201,8,1,0
92,42,Male,Chicago,59320,Ph.D.,18,Social Media,0.012247783267750889,6,44.43606087466183,3,0,0
93,49,Other,New York,53017,Ph.D.,4,Email,0.48138252675624205,8,15.890618288635078,3,0,0
94,24,Other,Chicago,50262,Ph.D.,20,Social Media,0.8135936549120317,7,1.1202335588258427,6,0,0
95,40,Female,Los Angeles,58785,Bachelor,15,Social Media,0.13959607621995618,2,19.71558067046621,5,0,0
96,44,Female,Chicago,72230,Bachelor,19,Phone Call,0.15599975839335667,1,13.960710569694651,10,1,1
97,18,Other,Houston,48518,Bachelor,10,Phone Call,0.8402681690729995,3,4.16155446805268,5,1,1
98,36,Other,New York,83066,High School,4,Social Media,0.27664317784350956,2,31.887195204446307,8,0,0
99,29,Other,Chicago,57750,Bachelor,6,Social Media,0.7795332325896224,1,25.546116788926547,9,0,1
100,63,Male,Los Angeles,54637,Master,14,Email,0.46426049364142397,4,48.746072624933866,3,0,1
101,46,Other,Los Angeles,115831,Bachelor,20,Email,0.05140106961570445,4,30.651820546186592,9,0,0
102,63,Female,Houston,84460,Ph.D.,6,Email,0.5246287633892373,0,0.0015132183841171098,6,1,1
103,34,Male,Chicago,67516,Master,16,Phone Call,0.6895188548760939,8,20.922321244219372,5,1,0
104,22,Male,Houston,45390,High School,5,Email,0.0072984689580870565,2,52.71486556741893,10,0,1
105,38,Other,Los Angeles,80465,Master,16,Social Media,0.32858433789304564,9,13.721995323909972,6,0,1
106,63,Other,Chicago,72167,Master,2,Email,0.7624600450218599,10,22.309586028901514,8,1,0
107,35,Other,New York,34589,High School,3,Phone Call,0.7892642578046406,9,50.22609204346699,2,0,0
108,39,Other,Chicago,67841,High School,2,Email,0.27985425786483276,6,21.482891432402514,4,1,1
109,22,Other,Chicago,44595,Bachelor,9,Phone Call,0.060148710327630917,3,33.5037594858357,5,1,1
110,26,Female,Chicago,63639,Ph.D.,20,Social Media,0.19937833811707506,3,18.679182525910367,4,1,1
111,47,Other,New York,36370,Bachelor,10,Email,0.572021572726566,8,46.47247234967237,3,0,1
112,51,Male,Los Angeles,31548,Bachelor,12,Phone Call,0.6654839139476602,7,47.29154450014645,7,1,0
113,53,Female,Chicago,108856,Ph.D.,3,Email,0.530199235334297,10,2.789273037478759,5,1,0
114,57,Other,Chicago,72232,Bachelor,1,Phone Call,0.04797490643058311,10,12.88822903456025,2,1,1
115,45,Female,Chicago,55434,High School,3,Social Media,0.11811224426197087,2,2.342956568452257,7,1,1
116,41,Other,Chicago,52617,Ph.D.,11,Phone Call,0.838538235375928,7,47.87383159348219,3,0,0
117,39,Male,Los Angeles,81038,Ph.D.,7,Social Media,0.960897410977805,8,14.985809789712674,1,0,1
118,21,Female,Chicago,76044,Bachelor,12,Social Media,0.5783421874873924,0,37.63170261451667,8,1,1
119,22,Female,Houston,47375,Bachelor,10,Social Media,0.36025662900281985,0,57.2432924248452,9,0,0
120,63,Other,New York,89391,Ph.D.,13,Email,0.1344469521576781,1,42.92591364884635,1,1,1
121,21,Other,Chicago,108054,High School,13,Social Media,0.1336096182719545,1,0.4007271719727523,10,0,1
122,26,Other,Chicago,77506,Master,5,Email,0.0007836989448732901,0,36.2205218763482,4,1,0
123,30,Other,Chicago,80742,Bachelor,19,Social Media,0.9912376146301808,0,51.31315215751743,3,1,0
124,48,Female,Houston,117725,Master,10,Email,0.4803852666537711,3,14.570457140707369,2,1,1
125,37,Male,Los Angeles,75673,High School,2,Phone Call,0.4319938633953343,1,14.184174680516195,5,0,1
126,46,Male,Houston,66667,Bachelor,3,Email,0.701268448788949,3,9.742353280313235,6,1,1
127,31,Other,Houston,39548,High School,16,Social Media,0.9135823542259802,3,59.629720862052665,4,0,1
128,46,Female,Houston,78653,Ph.D.,4,Phone Call,0.8491600779527105,6,12.183792244594924,9,0,0
129,34,Male,Chicago,42979,Master,2,Email,0.3795822166951205,0,4.492850942607076,6,0,1
130,30,Other,Los Angeles,51582,Ph.D.,7,Email,0.3044646038327977,3,35.73229050382073,5,1,1
131,36,Other,Chicago,107657,Ph.D.,19,Phone Call,0.8539316043049663,0,6.978416289214531,10,0,1
132,49,Other,Houston,112611,High School,11,Social Media,0.6142693352593321,7,7.6632771877641375,6,1,1
133,55,Female,Chicago,92784,Ph.D.,18,Email,0.1957004134397461,3,17.178090050669446,9,1,0
134,56,Other,Los Angeles,60113,Ph.D.,18,Email,0.27050076150420754,1,55.7640688740026,3,1,0
135,57,Male,Houston,38317,Ph.D.,5,Social Media,0.4609778911448623,0,36.10579189500152,4,0,0
136,28,Male,Chicago,98803,Master,5,Email,0.5051592779198592,6,48.32302805728608,5,1,1
137,44,Other,Chicago,107699,Bachelor,10,Email,0.19601118227657433,8,32.98777536702876,1,0,1
138,24,Male,Houston,40816,Ph.D.,3,Email,0.027553048651533962,4,45.34755565882626,3,0,1
139,33,Female,Los Angeles,109754,Master,7,Social Media,0.35252601988230314,9,59.827940773551695,6,1,1
140,20,Female,Los Angeles,79168,High School,19,Social Media,0.5878480139057399,4,49.458975644787856,1,0,1
141,27,Female,New York,31205,Master,17,Social Media,0.5681832408856636,10,31.717012853319034,4,0,0
142,24,Male,Los Angeles,66052,Ph.D.,14,Social Media,0.35239926277944966,2,41.159330407000986,3,0,0
143,64,Male,Houston,111869,High School,1,Phone Call,0.321585117952946,7,0.6095781684076296,5,0,1
144,43,Male,Chicago,91907,Bachelor,17,Social Media,0.9161650565454228,6,2.278158844876268,7,1,1
145,43,Other,Chicago,113479,Ph.D.,2,Email,0.6443105632876563,10,26.362726915898943,9,0,0
146,40,Other,Houston,99799,Bachelor,3,Social Media,0.6108066185560217,8,19.222582099125283,7,1,1
147,63,Female,Houston,47882,Master,16,Phone Call,0.7634545547267416,0,15.277105501399886,1,1,0
148,43,Other,Houston,66952,Ph.D.,15,Social Media,0.6099265674629701,5,30.26673774290509,4,0,0
149,28,Male,Houston,77163,Ph.D.,1,Social Media,0.08430229294163727,7,2.5699843970599034,7,1,1
150,24,Female,Chicago,33770,Master,1,Email,0.2274980664320415,8,45.78017968937836,2,1,1
151,33,Male,New York,85670,Ph.D.,6,Social Media,0.9466619256992443,0,15.594140491255557,4,1,1
152,33,Other,Houston,64548,Bachelor,4,Phone Call,0.7992870339240542,8,47.558049311574266,4,1,1
153,23,Female,New York,47551,Bachelor,4,Phone Call,0.08003943019919268,8,59.70244677413677,9,1,0
154,58,Male,Los Angeles,52491,Master,15,Social Media,0.18269502484382671,8,36.71772233744873,4,1,1
155,34,Female,Chicago,82421,High School,9,Phone Call,0.983548534546781,3,57.92058545981233,7,0,0
156,28,Male,New York,64953,Master,20,Social Media,0.6512213207129086,6,10.45904942309204,6,1,0
157,61,Male,Chicago,85382,Master,16,Email,0.15274826554616272,0,36.53242755011693,9,0,1
158,58,Male,Houston,102354,Ph.D.,11,Phone Call,0.11111540905675676,10,0.1788455253986232,7,0,1
159,31,Other,Chicago,62420,Bachelor,19,Phone Call,0.14216435615086642,10,8.324791512991752,9,1,1
160,35,Male,New York,116771,Master,4,Phone Call,0.8778628879309865,5,4.094591023772218,9,1,0
161,24,Female,Chicago,100665,Master,2,Email,0.1988555318443218,8,29.76870529353674,2,0,1
162,43,Other,Los Angeles,32617,Ph.D.,9,Phone Call,0.2817853631843168,8,5.2600353196500516,6,0,1
163,35,Female,New York,92789,High School,6,Social Media,0.5866128429959898,7,47.46965832914565,8,0,1
164,39,Other,New York,114514,Bachelor,2,Email,0.20025549901599138,7,13.381113360511602,4,1,1
165,44,Other,Houston,93272,Master,16,Email,0.2252995013053276,10,12.805594409754026,10,1,1
166,31,Other,Chicago,89624,Master,13,Phone Call,0.6293376487402293,9,47.2420349461232,7,0,0
167,29,Other,Los Angeles,53008,High School,14,Phone Call,0.5749466310423649,4,45.9219200452914,2,0,0
168,33,Male,New York,44373,Ph.D.,9,Email,0.48493114862589415,1,29.362220540500825,8,1,1
169,50,Male,New York,52745,Ph.D.,5,Phone Call,0.05424381060792871,3,56.958854557429305,4,0,1
170,64,Female,Chicago,107084,Bachelor,6,Social Media,0.6441967688304043,1,25.064702768154913,8,0,0
171,65,Female,Chicago,50050,Master,6,Email,0.9760387469748488,5,4.234586273089816,9,0,0
172,38,Female,Chicago,100019,Ph.D.,7,Social Media,0.35118864989720977,2,25.097062712102453,6,1,1
173,27,Other,Chicago,116315,Bachelor,3,Email,0.8401131744777606,0,13.670172200866674,2,0,0
174,39,Male,Los Angeles,64973,Ph.D.,6,Social Media,0.19970723073392915,2,9.534136728197826,4,0,0
175,39,Other,Houston,36358,High School,6,Phone Call,0.8952199046840208,9,58.03192906956855,6,0,1
176,64,Female,New York,95690,High School,7,Social Media,0.3459661951187658,9,0.30984591088503155,9,0,0
177,59,Other,Houston,53739,Ph.D.,14,Email,0.9461812886114669,7,56.344432590087514,1,1,0
178,25,Female,Los Angeles,57520,High School,5,Email,0.8236123896162225,1,50.345360916085625,10,0,1
179,28,Male,New York,37707,Ph.D.,10,Social Media,0.7767677894991223,0,47.9255013785006,2,0,1
180,42,Male,Houston,111210,Master,5,Email,0.4030429743443804,7,0.4783141302215155,7,1,1
181,40,Other,Houston,62798,Master,7,Phone Call,0.5121307807388418,10,49.39692224602786,1,1,1
182,19,Female,Los Angeles,62453,Master,3,Email,0.2446033230291571,8,1.6583215599194423,1,0,1
183,58,Other,New York,97308,Master,12,Social Media,0.5187962154262028,5,22.450578430065605,9,0,0
184,39,Female,Los Angeles,39039,Bachelor,9,Email,0.46776959453039213,5,37.50395647325039,10,1,1
185,42,Male,New York,41672,Bachelor,17,Social Media,0.2662374465102789,1,12.428769958029317,4,0,0
186,36,Female,Houston,72816,Ph.D.,5,Social Media,0.8965220776272258,0,53.0159502860911,8,0,1
187,61,Other,Houston,78675,High School,6,Phone Call,0.21064962410169885,1,0.31678543612329246,4,0,1
188,50,Other,New York,113787,Ph.D.,4,Email,0.7701131006911247,7,3.9867083189824015,8,1,0
189,32,Other,Chicago,104959,Ph.D.,12,Email,0.6343906449351195,10,56.0744816782401,7,0,0
190,56,Male,Houston,52594,Master,2,Email,0.614567419934632,10,34.85598875508686,8,0,0
191,50,Male,Chicago,33968,Bachelor,10,Social Media,0.324764487713212,4,29.894577556598666,5,1,0
192,50,Other,Los Angeles,95950,High School,4,Email,0.16109692169310397,4,28.123323473769297,4,0,1
193,58,Other,Los Angeles,74989,Master,16,Social Media,0.7071031217767486,6,48.08386164587279,6,0,0
194,59,Male,Los Angeles,82134,Ph.D.,18,Email,0.5735880145632064,5,2.9242957840666772,10,0,0
195,60,Male,Los Angeles,81964,Bachelor,17,Email,0.9498206558123808,4,0.2648951913976605,10,0,1
196,44,Other,Chicago,31873,Master,20,Phone Call,0.07415946005469842,0,58.14523695159154,5,1,1
197,64,Female,Los Angeles,116145,High School,17,Social Media,0.3822205630510831,10,29.375929467841907,10,0,0
198,61,Male,Los Angeles,31198,Bachelor,9,Social Media,0.1548651515967464,0,19.77060990423242,4,1,0
199,39,Male,Houston,93460,Ph.D.,7,Email,0.550777668799112,3,44.75633791540698,3,1,1
200,38,Male,New York,117868,Bachelor,16,Phone Call,0.9436084957740198,0,39.227584706000094,7,1,1
201,27,Other,Houston,31054,Bachelor,1,Phone Call,0.600508813455242,9,3.702759769687909,10,1,0
202,63,Male,Chicago,116964,Ph.D.,1,Phone Call,0.08516992736376672,5,8.112335027343967,10,0,0
203,35,Female,Houston,42554,Bachelor,3,Email,0.49116613608119986,6,30.82426149005555,2,1,1
204,24,Male,New York,66752,Master,2,Phone Call,0.3421803558391038,6,7.558484074667704,7,1,1
205,63,Other,Houston,85006,Master,10,Social Media,0.6240217440476967,8,40.86302358796507,3,1,0
206,30,Female,New York,47992,High School,2,Email,0.49510315818444106,1,40.69530785159785,1,1,0
207,63,Male,Los Angeles,95820,High School,2,Phone Call,0.17954128466252217,6,56.654974612752504,9,0,0
208,31,Male,Chicago,37596,Master,4,Phone Call,0.7913155247705331,7,14.418457450766503,9,1,0
209,64,Male,Los Angeles,39161,Ph.D.,18,Social Media,0.15304593195553884,9,12.911864018413333,4,0,1
210,22,Other,Chicago,59171,High School,12,Phone Call,0.8894010909804851,3,18.427819173876895,3,0,1
211,24,Male,New York,101225,Ph.D.,19,Email,0.38081816349871833,0,2.2243077343371676,3,0,1
212,59,Male,Chicago,38724,Ph.D.,13,Phone Call,0.834133385617169,9,54.83185338819146,7,1,0
213,59,Female,New York,82136,Master,2,Social Media,0.04158175392826202,9,15.724567062242436,8,1,0
214,24,Other,Houston,46887,Master,2,Social Media,0.4891069166350269,6,27.2910731066806,9,0,1
215,51,Male,Chicago,119514,Bachelor,20,Phone Call,0.7105744657275187,7,10.445296258608174,2,1,0
216,29,Male,Houston,51726,Ph.D.,18,Social Media,0.9111983234846894,3,10.586039778182554,9,1,0
217,51,Male,New York,86120,Ph.D.,15,Email,0.2477957884981672,6,24.586376156925176,2,0,0
218,44,Other,New York,98030,High School,20,Email,0.8028361390795627,3,56.7580552747318,5,1,0
219,58,Female,Chicago,71261,High School,15,Social Media,0.010338526041458018,1,32.961878412507296,8,1,0
220,19,Female,Houston,119653,High School,3,Phone Call,0.40334750047387524,1,58.9966370928199,10,0,1
221,36,Female,Houston,102230,Master,5,Email,0.665461464602164,7,3.5483170538431885,5,1,1
222,21,Female,New York,89444,High School,8,Social Media,0.468526698627427,8,8.313108018082803,7,0,1
223,40,Other,Chicago,87954,Master,20,Phone Call,0.0086524787205845,2,35.049602165908446,5,1,1
224,30,Male,Chicago,83455,Bachelor,1,Email,0.03285443461266191,3,49.52278524506852,8,1,0
225,48,Female,Los Angeles,112971,Bachelor,18,Email,0.9137719841418985,1,53.387876894446,1,0,0
226,36,Female,Los Angeles,93485,Bachelor,17,Social Media,0.8019227902595948,10,20.204583177598792,4,1,1
227,35,Other,Los Angeles,34940,High School,2,Email,0.5048729212015056,0,26.152468422934046,10,1,1
228,65,Male,Chicago,52705,Ph.D.,6,Social Media,0.6786365870235608,0,6.7851206298709705,1,0,0
229,25,Other,New York,97781,Master,12,Phone Call,0.5339847434887331,5,10.69870198414237,5,1,1
230,65,Male,New York,96732,High School,16,Email,0.23185543579710666,7,40.3057121604085,2,0,0
231,41,Male,Houston,60510,Bachelor,7,Email,0.45723483017294597,9,52.089961125620256,4,0,0
232,20,Male,New York,80573,High School,11,Phone Call,0.4503050026980724,3,27.528406508515914,9,0,1
233,40,Male,Houston,93836,Master,14,Email,0.4574260563323892,4,29.191594561265163,2,1,1
234,53,Male,Chicago,49712,High School,18,Phone Call,0.8272194560539015,6,25.38301247558033,2,0,1
235,43,Male,Houston,40341,Bachelor,20,Social Media,0.23222554716714505,7,31.11542200336586,2,0,1
236,29,Male,Chicago,38318,High School,4,Phone Call,0.3969173563766015,2,24.94140608640767,5,0,1
237,32,Female,New York,40387,Ph.D.,14,Social Media,0.7105824276914178,3,9.888106396164796,9,0,0
238,23,Other,Chicago,35374,High School,20,Email,0.7697843724934903,3,20.348932039408442,6,0,0
239,25,Female,Chicago,53742,Ph.D.,15,Email,0.5015110215283881,0,11.731708387751592,3,1,0
240,38,Male,New York,61233,Bachelor,18,Phone Call,0.6628553379858171,5,0.03377797004379568,7,0,0
241,43,Other,Houston,116719,High School,8,Email,0.7807895716279534,0,10.99701076339433,4,1,1
242,40,Female,New York,87608,Master,19,Phone Call,0.4397695953642431,10,27.6469853732537,9,0,0
243,29,Other,Chicago,62742,Master,13,Social Media,0.7338266960174754,6,29.01079541174769,1,0,0
244,55,Other,Chicago,118223,Bachelor,17,Social Media,0.1573080057919637,5,10.10331445316127,3,0,0
245,23,Female,Chicago,97186,Ph.D.,12,Phone Call,0.5336168635149834,0,0.907542260620906,7,1,1
246,26,Other,Los Angeles,84275,Ph.D.,15,Social Media,0.327833763370699,4,12.927454139516508,2,1,1
247,46,Other,Chicago,35940,Master,20,Phone Call,0.2601782660445292,5,11.632881175189,8,1,0
248,38,Other,New York,54579,Master,19,Phone Call,0.5173488986521211,8,31.59382284671962,7,0,1
249,24,Female,Chicago,73947,High School,3,Email,0.1942390946933803,0,54.87085791872162,10,0,0
250,64,Male,New York,108327,Ph.D.,18,Email,0.37942521460569334,5,37.66937586652798,6,0,0
251,47,Other,Chicago,35680,High School,3,Social Media,0.6939206289417472,0,19.825528434332366,1,1,1
252,41,Female,New York,117295,Master,20,Social Media,0.44649218399107016,2,46.15199687440785,2,0,1
253,30,Other,Houston,92868,Master,9,Social Media,0.42349831519332304,5,1.8930283885460253,9,0,1
254,63,Female,New York,70082,Master,5,Phone Call,0.991263819327169,9,40.61135342116856,3,1,0
255,53,Male,Los Angeles,90764,Bachelor,14,Phone Call,0.13297425836632415,3,51.28435970969845,3,1,1
256,61,Male,Houston,59249,High School,12,Social Media,0.47424953753469123,5,37.416489015730335,7,1,0
257,65,Female,Chicago,84929,Master,2,Phone Call,0.9923507752090044,9,27.264726530129032,4,0,0
258,39,Other,Los Angeles,105585,Master,2,Social Media,0.10158129012585004,5,36.26299341646068,6,1,0
259,38,Female,New York,51441,Ph.D.,10,Social Media,0.5063408603214705,2,13.161522684232065,4,0,1
260,44,Female,Houston,109195,Bachelor,20,Phone Call,0.8776120477920853,0,14.463745912271849,1,1,0
261,29,Female,Los Angeles,71850,Bachelor,15,Social Media,0.9732007372919322,4,10.21823656838774,4,0,1
262,54,Female,Houston,68128,Bachelor,20,Social Media,0.4540292393273472,8,12.193874405502294,2,1,0
263,19,Male,Los Angeles,108574,Bachelor,18,Social Media,0.07325550320911911,0,5.747500877301322,5,0,1
264,28,Male,New York,64876,Master,10,Email,0.7784534570445885,6,41.31147137261061,7,0,1
265,22,Male,Houston,77255,Bachelor,14,Email,0.2839743010532576,5,2.065196319201734,10,1,1
266,49,Other,Houston,119789,High School,7,Email,0.6402933516024004,3,39.10128011975984,5,0,1
267,53,Male,Houston,117983,Bachelor,3,Email,0.8850713043847322,6,8.983378711758903,4,1,0
268,27,Other,Chicago,36102,High School,5,Social Media,0.03228740889531401,7,10.838840427512881,8,1,1
269,37,Male,Houston,35464,Ph.D.,1,Phone Call,0.32119304495225987,3,4.410261579836305,7,0,0
270,22,Other,Chicago,52893,Master,17,Email,0.8667896447856859,4,23.677889609572244,4,0,1
